Student ID (last 4 digits), Date, Sign-In Time, Sign-Out Time, Hours Logged
9645,2019-01-25,16:10:20.990374,18:08:25.704325,1.968
9302,2019-01-25,16:12:58.655449,17:36:40.979632,1.3951
1844,2019-01-25,16:15:19.571464,17:27:37.374647,1.2049
6287,2019-01-25,16:16:36.499711,17:36:44.699673,1.3356
4188,2019-01-25,16:18:29.627166,16:51:34.822641,0.5514
7624,2019-01-25,16:22:54.982820,17:03:51.622960,0.6824
7453,2019-01-25,16:25:38.306647,17:03:42.394913,0.6345
7780,2019-01-25,16:25:40.932388,17:03:44.674913,0.6344
8760,2019-01-25,16:25:46.058336,17:04:01.358858,0.6376
7001,2019-01-25,16:38:50.880778,18:16:47.353073,1.6324
4201,2019-01-25,16:39:05.142489,18:22:11.721640,1.7185
1641,2019-01-25,17:29:48.874389,17:29:50.944383,0.0006
0644,2019-01-25,17:31:56.120487,18:22:16.149888,0.8389
6969,2019-01-25,17:34:28.720197,18:18:42.408747,0.7371
1565,2019-01-25,17:35:26.890491,17:36:36.946082,0.0195
1281,2019-01-25,17:40:14.527242,17:41:29.773101,0.0209
3276,2019-01-26,09:27:31.366434,19:17:38.500337,9.8353
2169,2019-01-26,09:34:11.273632,18:23:40.334570,8.8247
4201,2019-01-26,09:37:39.413190,13:53:44.532815,4.2681
8518,2019-01-26,09:45:24.310283,13:02:28.208315,3.2844
2047,2019-01-26,09:49:43.285835,18:58:11.552805,9.1412
6099,2019-01-26,10:02:39.468325,12:08:40.656168,2.1003
3524,2019-01-26,10:02:51.858311,17:45:19.117049,7.7076
2395,2019-01-26,10:03:09.550322,18:57:10.680992,8.9003
6502,2019-01-26,10:03:48.772293,16:19:23.735732,6.2597
0644,2019-01-26,10:04:22.790114,17:22:09.328188,7.2963
0641,2019-01-26,10:04:37.904068,13:02:17.890288,2.9611
9302,2019-01-26,10:07:18.603759,17:45:10.339094,7.631
6287,2019-01-26,10:07:25.127761,16:16:43.324186,6.1551
6969,2019-01-26,10:07:31.139742,19:17:13.360444,9.1617
3624,2019-01-26,10:07:35.165751,17:45:27.590826,7.6312
2297,2019-01-26,10:07:38.559742,17:45:24.465079,7.6294
1565,2019-01-26,10:08:26.305615,16:27:07.218457,6.3114
0420,2019-01-26,10:09:55.029475,16:12:01.052997,6.035
5086,2019-01-26,10:14:51.336863,14:02:54.402037,3.8009
7453,2019-01-26,10:14:54.354875,15:15:27.109211,5.0091
1312,2019-01-26,10:23:16.019813,17:33:32.116917,7.1711
5051,2019-01-26,10:26:49.721353,17:22:42.214561,6.9312
2222,2019-01-26,10:29:09.173093,16:22:43.989193,5.893
9949,2019-01-26,10:41:45.697516,14:23:47.649326,3.7005
7780,2019-01-26,10:42:06.029564,15:02:25.332870,4.3387
1281,2019-01-26,11:03:49.598880,19:14:03.410754,8.1705
7624,2019-01-26,11:03:52.144850,16:30:40.193862,5.4467
1926,2019-01-26,11:40:10.006468,11:40:17.106485,0.002
1926,2019-01-26,11:40:19.052463,15:29:05.231745,3.8128
1926,2019-01-26,12:00:46.175768,,0
7409,2019-01-26,12:17:09.386466,13:58:11.900205,1.684
9912,2019-01-26,12:47:52.059767,,0
